族群,細產業,檔名,細產業代碼,成分股數,來源網址
金融業,期貨,金融業_期貨.csv,C028061,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028061
金融業,投信,金融業_投信.csv,C028070,10,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028070
金融業,投資信託,金融業_投資信託.csv,C028090,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028090
金融業,房地產投資信託,金融業_房地產投資信託.csv,C028091,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028091
金融業,金控,金融業_金控.csv,C028100,13,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028100
金融業,租賃,金融業_租賃.csv,C028110,4,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028110
金融業,金融其他,金融業_金融其他.csv,C028120,14,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028120
金融業,資產管理,金融業_資產管理.csv,C028121,12,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028121
金融業,再保險,金融業_再保險.csv,C028122,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028122
金融業,消費金融,金融業_消費金融.csv,C028123,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028123
金融業,金融業,金融業_金融業.csv,C028990,50,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C028990
流通業,便利商店,流通業_便利商店.csv,C027050,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C027050
流通業,流通業,流通業_流通業.csv,C029001,34,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029001
流通業,百貨業,流通業_百貨業.csv,C029010,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029010
流通業,貿易,流通業_貿易.csv,C029020,11,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029020
流通業,書店,流通業_書店.csv,C029021,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029021
流通業,相片沖印,流通業_相片沖印.csv,C029040,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029040
流通業,量販店、大賣場,流通業_量販店、大賣場.csv,C029050,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029050
流通業,藥妝零售相關,流通業_藥妝零售相關.csv,C029060,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029060
流通業,連鎖超市,流通業_連鎖超市.csv,C029070,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029070
流通業,食品飲料相關通路,流通業_食品飲料相關通路.csv,C029080,7,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029080
流通業,家居相關用品通路,流通業_家居相關用品通路.csv,C029094,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029094
流通業,免稅店,流通業_免稅店.csv,C029095,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029095
無店舖販售,無店舖販售,無店舖販售_無店舖販售.csv,C029090,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029090
無店舖販售,郵購,無店舖販售_郵購.csv,C029091,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029091
無店舖販售,直銷,無店舖販售_直銷.csv,C029092,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029092
無店舖販售,電視購物,無店舖販售_電視購物.csv,C029093,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C029093
電力公共事業,電力公共事業,電力公共事業_電力公共事業.csv,C015203,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C015203
水資源,水利,水資源_水利.csv,C025920,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025920
水資源,水資源,水資源_水資源.csv,C025980,15,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025980
水資源,海水淡化,水資源_海水淡化.csv,C025981,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025981
水資源,污水處理,水資源_污水處理.csv,C025982,10,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025982
水資源,水資源設備／耗材,水資源_水資源設備／耗材.csv,C025983,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025983
其他公用事業,駕訓班,其他公用事業_駕訓班.csv,C025960,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C025960
其他公用事業,加油站,其他公用事業_加油站.csv,C099100,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099100
其他公用事業,其他公用事業,其他公用事業_其他公用事業.csv,C099370,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099370
其他公用事業,停車場,其他公用事業_停車場.csv,C099371,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099371
其他公用事業,交通號誌,其他公用事業_交通號誌.csv,C099372,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C099372
控股公司,控股公司,控股公司_控股公司.csv,C098020,26,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C098020
醫藥產業,醫藥產業,醫藥產業_醫藥產業.csv,C017000,65,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017000
醫藥產業,西藥製劑,醫藥產業_西藥製劑.csv,C017011,30,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017011
醫藥產業,中藥製劑,醫藥產業_中藥製劑.csv,C017012,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017012
醫藥產業,原料藥,醫藥產業_原料藥.csv,C017013,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017013
醫藥產業,新藥研發,醫藥產業_新藥研發.csv,C017014,36,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017014
醫藥產業,植物新藥,醫藥產業_植物新藥.csv,C017015,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017015
醫藥產業,生物製劑,醫藥產業_生物製劑.csv,C017016,14,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017016
醫藥產業,維生素,醫藥產業_維生素.csv,C017017,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017017
醫藥產業,醫藥研發外包服務,醫藥產業_醫藥研發外包服務.csv,C017023,8,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017023
醫藥產業,學名藥,醫藥產業_學名藥.csv,C017024,24,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017024
醫藥產業,專利藥,醫藥產業_專利藥.csv,C017025,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017025
醫藥產業,動物用藥,醫藥產業_動物用藥.csv,C017105,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017105
醫藥產業,細胞治療,醫藥產業_細胞治療.csv,C017143,3,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017143
生物科技,生物科技,生物科技_生物科技.csv,C017010,46,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017010
生物科技,生技特用化學品,生物科技_生技特用化學品.csv,C017018,2,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017018
生物科技,農業生技,生物科技_農業生技.csv,C017019,5,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017019
生物科技,環保生技,生物科技_環保生技.csv,C017020,1,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017020
生物科技,生技服務,生物科技_生技服務.csv,C017021,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017021
生物科技,植物工廠,生物科技_植物工廠.csv,C017022,0,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017022
生物科技,食品生技,生物科技_食品生技.csv,C017108,31,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017108
智慧醫療技術,智慧醫療技術,智慧醫療技術_智慧醫療技術.csv,C017107,6,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017107
醫藥流通,醫療器材通路,醫藥流通_醫療器材通路.csv,C017100,19,https://www.moneydj.com/z/zh/zha/zh00.djhtm?a=C017100
